shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
Frauenhaus,2142,49.9425551,11.5744543,Bayreuth,Kreisfreie Stadt,DE242,DE2,Bayern
Frauenhaus Burghausen,2252,48.170001152799,12.82481067792,Altötting,Landkreis,DE214,DE2,Bayern
Frauenhaus Coburg,2224,50.257505531706,10.961128141975,Coburg,Kreisfreie Stadt,DE243,DE2,Bayern
Frauenhaus Dachau,2246,48.259621637411,11.448716677201,Dachau,Landkreis,DE217,DE2,Bayern
Frauenhaus Erding,2362,48.304271224419,11.90594429271,Erding,Landkreis,DE21A,DE2,Bayern
Autonomes Frauenhaus Erlangen,2265,49.59608204841,11.001999091098,Erlangen,Kreisfreie Stadt,DE252,DE2,Bayern
Frauenhaus FFB,2116,48.1717756,11.2623294,Fürstenfeldbruck,Landkreis,DE21C,DE2,Bayern
Frauenhaus Fürth,2301,49.4668322,10.9852942,Fürth,Kreisfreie Stadt,DE253,DE2,Bayern
Frauennotruf Hochfranken,2135,50.318924920653,11.923855529507,Hof,Kreisfreie Stadt,DE244,DE2,Bayern
Caritas Frauenhaus Ingolstadt,2260,48.7630165,11.4250395,Ingolstadt,Kreisfreie Stadt,DE211,DE2,Bayern
Frauenhaus Kaufbeuren-Ostallgäu,2370,47.88994184441,10.626136661017,Kaufbeuren,Kreisfreie Stadt,DE272,DE2,Bayern
Autonomes Frauenhaus Kempten (Allgäu),2024,47.762382099999996,10.3245689,Kempten (Allgäu),Kreisfreie Stadt,DE273,DE2,Bayern
AWO Frauenhaus Landshut,2187,48.53761662542,12.153462601108,Landshut,Kreisfreie Stadt,DE221,DE2,Bayern
Caritas Frauenhaus Landshut,2218,48.538071270726,12.162603569431,Landshut,Kreisfreie Stadt,DE221,DE2,Bayern
Autonomes Frauenhaus Memmingen,2069,47.9848507,10.1870278,Memmingen,Kreisfreie Stadt,DE274,DE2,Bayern
Frauenhaus der Frauenhilfe München,2348,48.1351253,11.5819805,München,Kreisfreie Stadt,DE212,DE2,Bayern
Frauenhaus München,2387,48.1371079,11.5753822,München,Kreisfreie Stadt,DE212,DE2,Bayern
Frauenhaus Murnau,2127,47.678189261344,11.200951713805,Garmisch-Partenkirchen,Landkreis,DE21D,DE2,Bayern
AWO Frauenhaus Neu-Ulm,2094,48.376176,10.008997602757,Neu-Ulm,Landkreis,DE279,DE2,Bayern
Frauenhaus Nürnberg,2147,49.454987367495,11.078057924511,Nürnberg,Kreisfreie Stadt,DE254,DE2,Bayern
Frauenhaus Hagar,2155,49.454987367495,11.078057924511,Nürnberg,Kreisfreie Stadt,DE254,DE2,Bayern
Frauenhaus Passau,2125,48.57363833286,13.451816048151,Passau,Kreisfreie Stadt,DE222,DE2,Bayern
Frauen- und Kinderschutzhaus,2180,48.98322105,12.151901371455,Regensburg,Kreisfreie Stadt,DE232,DE2,Bayern
