shelter_name,shelter_id,latitude,longitude,timestamp,description,status,gen,bez,bundesland,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Frauenhaus Lauchhammer,2346,51.4957085,13.7605753,2022-12-25 08:01:00,k.A.,keine Angabe,Oberspreewald-Lausitz,Landkreis,Brandenburg,Frauenhaus,False,False,False,False
4. Frauen*- und Kinderschutzhaus Leipzig,2317,51.3406321,12.3747329,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Leipzig,Kreisfreie Stadt,Sachsen,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Leverkusen,2151,51.036439483933,6.993204651605,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Leverkusen,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
"Frauenhaus, Beratungs- und Interventionsstelle Limburg",2036,50.387426446735,8.064561329702,2022-12-25 08:01:00,Aufnahme möglich für Frauen mit 2 Kindern,Aufnahme möglich für Frauen mit mehreren Kindern,Limburg-Weilburg,Landkreis,Hessen,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Lörrach,2075,47.602006174985,7.6622878822819995,2022-12-25 08:01:00,k.A.,keine Angabe,Lörrach,Landkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauenhaus Hartengrube,2284,53.861924849136,10.683346452091,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Lübeck,Kreisfreie Stadt,Schleswig-Holstein,Frauenhaus,False,False,False,False
Frauenhaus Ludwigsburg,2223,48.905138982478,9.175657488432,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Ludwigsburg,Landkreis,Baden-Württemberg,Frauenhaus,True,True,True,False
Autonomes Frauenhaus Lüneburg,2066,53.2497728,10.4197721,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Lüneburg,Landkreis,Niedersachsen,Frauenhaus,False,False,False,False
Frauenschutzhaus Wittenberg,2319,51.869377514536,12.646353310986001,2022-12-25 08:01:00,k.A.,keine Angabe,Wittenberg,Landkreis,Sachsen-Anhalt,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Marburg,2025,50.8117327,8.7757742,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Marburg-Biedenkopf,Landkreis,Hessen,Frauenhaus,False,False,False,False
Frauenschutzzentrum,2325,52.292865585765,8.884828610875,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Minden-Lübbecke,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Mönchengladbach,2337,51.201782299521,6.421618467145,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Mönchengladbach,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus der Frauenhilfe München,2348,48.1351253,11.5819805,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,München,Kreisfreie Stadt,Bayern,Frauenhaus,True,True,False,False
Autonomes Frauenhaus Münster,2141,51.956729697633,7.632398512595,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Münster,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhäuser Münster,2226,51.964715367909,7.65173880509,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Münster,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
AWO Frauenhaus Neu-Ulm,2094,48.376176,10.008997602757,2022-12-25 08:01:00,k.A.,keine Angabe,Neu-Ulm,Landkreis,Bayern,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Neumünster,2063,54.074247318196,9.984462815518,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Neumünster,Kreisfreie Stadt,Schleswig-Holstein,Frauenhaus,True,False,False,False
Frauenhaus Neustadt,2201,49.349491832835,8.141965744074,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Neustadt an der Weinstraße,Kreisfreie Stadt,Rheinland-Pfalz,Frauenhaus,False,False,False,False
Frauenhaus Norderstedt,2303,53.7089898,9.9891914,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Segeberg,Kreis,Schleswig-Holstein,Frauenhaus,True,False,False,False
Frauenhaus Nürnberg,2147,49.454987367495,11.078057924511,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Nürnberg,Kreisfreie Stadt,Bayern,Frauenhaus,False,False,False,False
Frauen- und Kinderhaus Offenbach,2077,50.104010086859,8.76674981179,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Offenbach am Main,Kreisfreie Stadt,Hessen,Frauenhaus,False,False,False,False
Frauenhaus Passau,2125,48.57363833286,13.451816048151,2022-12-25 08:01:00,k.A.,keine Angabe,Passau,Kreisfreie Stadt,Bayern,Frauenhaus,True,False,False,False
Frauenhaus Pinneberg,2264,53.651379970069,9.789546578719,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Pinneberg,Kreis,Schleswig-Holstein,Frauenhaus,False,False,False,False
KARO e.V.,2266,50.4950632,12.1346523,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Vogtlandkreis,Landkreis,Sachsen,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Kreis Plön,2034,54.232749761427,10.279783840293,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Plön,Kreis,Schleswig-Holstein,Frauenhaus,True,False,False,False
Frauen- und Kinderschutzhaus,2268,47.764202227177,9.604661644156,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Ravensburg,Landkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauenhaus Recklinghausen e.V.,2380,51.562289600477,7.197057131299,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Recklinghausen,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Remscheid,2356,51.1463909,7.2148641,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Rheinisch-Bergischer Kreis,Kreis,Nordrhein-Westfalen,Frauenhaus,True,False,True,False
Frauenhaus Rendsburg gGmbH,2191,54.308288610642,9.658791079076,2022-12-25 08:01:00,Aufnahme möglich für Frauen mit 3 Kindern,Aufnahme möglich für Frauen mit mehreren Kindern,Rendsburg-Eckernförde,Kreis,Schleswig-Holstein,Frauenhaus,True,False,False,False
Frauenhaus Rodgau,2166,50.021737483593,8.882036802864,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Offenbach,Landkreis,Hessen,Frauenhaus,False,False,False,False
Frauenhaus Rosenheim/Traunstein,2269,47.8571272,12.1181047,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Rosenheim,Kreisfreie Stadt,Bayern,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Rostock,2163,54.052138471041,12.10428681682,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Rostock,Landkreis,Mecklenburg-Vorpommern,Frauenhaus,False,False,False,False
Frauenhaus Salzgitter,2128,52.159624591925,10.331093344387,2022-12-25 08:01:00,k.A.,keine Angabe,Salzgitter,Kreisfreie Stadt,Niedersachsen,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Sangerhausen,2058,51.4798304,11.2943896,2022-12-25 08:01:00,Aufnahme möglich ohne detaillierte Angabe,Aufnahme möglich ohne detaillierte Angabe,Mansfeld-Südharz,Landkreis,Sachsen-Anhalt,Frauenhaus,False,False,False,False
Frauenhaus des Rhein-Sieg-Kreises,2228,50.749009526955,7.221746527917,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Rhein-Sieg-Kreis,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauen-und Kinderschutzhaus Schwäbisch Hall,2176,49.112065275931,9.732801718754,2022-12-25 08:01:00,k.A.,keine Angabe,Schwäbisch Hall,Landkreis,Baden-Württemberg,Frauenhaus,True,False,False,False
Frauenhaus Schwedt,2079,53.072867194575,14.277710475059,2022-12-25 08:01:00,k.A.,keine Angabe,Uckermark,Landkreis,Brandenburg,Frauenhaus,True,False,False,False
Frauenhaus Siegen,2154,50.8759626,8.0164616,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Siegen-Wittgenstein,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Soest,2144,51.565331935758,8.097908720838,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Soest,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus e.V. Solingen,2110,51.1238982,6.978047,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Mettmann,Kreis,Nordrhein-Westfalen,Frauenhaus,True,False,False,False
Frauenhaus Speyer,2174,49.322620194502,8.429573035315,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Speyer,Kreisfreie Stadt,Rheinland-Pfalz,Frauenhaus,False,False,False,False
Frauenhaus Straubing,2108,48.8777333,12.5801539,2022-12-25 08:01:00,k.A.,keine Angabe,Straubing,Kreisfreie Stadt,Bayern,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Stuttgart,2078,48.763984707357,9.174786993125,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Stuttgart,Stadtkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Städtisches Frauenhaus Stuttgart,2197,48.76986235,9.211651935853,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Stuttgart,Stadtkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauenschutzwohnungen Landkreis Nordsachsen,2042,51.5628862,12.9909587,2022-12-25 08:01:00,k.A.,keine Angabe,Nordsachsen,Landkreis,Sachsen,Schutzwohnung,False,False,False,False
Autonomes Frauenhaus Trier,2137,49.749992,6.6371433,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Trier,Kreisfreie Stadt,Rheinland-Pfalz,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Troisdorf,2130,50.813948,7.1508684,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Rhein-Sieg-Kreis,Kreis,Nordrhein-Westfalen,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Tübingen,2012,48.52057725995,9.025027129822,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Tübingen,Landkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Autonomes Frauenhaus,2170,50.25418357165,9.295718601627,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Main-Kinzig-Kreis,Landkreis,Hessen,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus im Hohenlohekreis,2222,49.181288581991,9.637402053841999,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Hohenlohekreis,Landkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauenhaus Weiden,2071,49.677827673914,12.154750706237,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Weiden i.d. OPf.,Kreisfreie Stadt,Bayern,Frauenhaus,True,False,True,False
Frauenhaus Wetzlar e.V.,2208,50.559625165351,8.499134628186,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Lahn-Dill-Kreis,Landkreis,Hessen,Frauenhaus,False,False,False,False
Haus für Frauen in Not Wiesbaden,2158,50.077813921273,8.236045029311,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Wiesbaden,Kreisfreie Stadt,Hessen,Frauenhaus,False,False,False,False
Frauenhaus EN,2073,51.4438167,7.3417483,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Ennepe-Ruhr-Kreis,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauen helfen Frauen e.V.,2275,47.915446386913,11.423220582099,2022-12-25 08:01:00,Aufnahme möglich für Frauen mit 3 Kindern,Aufnahme möglich für Frauen mit mehreren Kindern,Bad Tölz-Wolfratshausen,Landkreis,Bayern,Frauenhaus,True,False,False,False
Wolfsburger Frauenhaus,2383,52.421175871211,10.79371507002,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Wolfsburg,Kreisfreie Stadt,Niedersachsen,Frauenhaus,False,False,False,False
Frauenhaus Zollernalbkreis,2046,48.269484562955,8.94737584922,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Zollernalbkreis,Landkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
