shelter_name,shelter_id,bundesland,bez,gen,latitude,longitude,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Frauen- und Kinderhilfe Göppingen,2097,Baden-Württemberg,Landkreis,Göppingen,48.705872999684,9.649685019812999,0.0,0.03614457831325301,0.014629948364888123,0.16006884681583478,0.0,0.7891566265060241,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzeinrichtung,2159,Baden-Württemberg,Landkreis,Ostalbkreis,48.8009955981,9.788703360852,0.0,0.0,0.035283993115318414,0.6583476764199656,0.0,0.306368330464716,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus,2180,Bayern,Kreisfreie Stadt,Regensburg,48.98322105,12.151901371455,0.0,0.0,0.0,0.9982788296041308,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus,2268,Baden-Württemberg,Landkreis,Ravensburg,47.764202227177,9.604661644156,0.010327022375215147,0.031841652323580036,0.0,0.5826161790017211,0.0,0.37521514629948366,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus,2365,Nordrhein-Westfalen,Kreis,Coesfeld,51.825388946298,7.269914071563,0.0051635111876075735,0.0,0.2469879518072289,0.7478485370051635,0.0,0.0,Frauenhaus,False,True,False,False
Frauen- und Kinderschutzhaus,2423,Nordrhein-Westfalen,Kreis,Höxter,51.502765616284,9.117780029782,0.0034423407917383822,0.012048192771084338,0.10499139414802065,0.7934595524956971,0.0025817555938037868,0.0008605851979345956,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Aachen,2270,Nordrhein-Westfalen,Kreis,Städteregion Aachen,50.788047150729,6.097588101025,0.0,0.030120481927710843,0.13941480206540446,0.6738382099827883,0.1566265060240964,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Ammerland Wesermarsch,2309,Niedersachsen,Landkreis,Ammerland,53.186117454157,8.002655371563,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
Frauen- und Kinderschutzhaus Ballenstedt,2280,Sachsen-Anhalt,Landkreis,Harz,51.722527,11.2290268,0.0,0.18158347676419967,0.0,0.423407917383821,0.39500860585197933,0.0,Frauenhaus,True,False,False,False
Frauen- und Kinderschutzhaus Bay. Untermain,2120,Bayern,Kreisfreie Stadt,Aschaffenburg,49.977036120801,9.145832480125,0.0,0.006024096385542169,0.0,0.9079173838209983,0.0,0.08519793459552495,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Bernburg (Saale),2227,Sachsen-Anhalt,Landkreis,Salzlandkreis,51.783018835759,11.754099790778,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
