bundesland,monthyear,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,Gesamtzahl der Frauenhäuser,"Anzahl der Frauenhäuser, die wir analysieren könnten"
Rheinland-Pfalz,2022-01,0.06010230179028134,0.02237851662404092,0.05626598465473146,0.7237851662404092,0.03516624040920716,0.00895140664961637,18,18
Rheinland-Pfalz,2022-02,0.011805555555555557,0.0006944444444444445,0.03888888888888889,0.90625,0.025694444444444443,0.0,18,18
Rheinland-Pfalz,2022-03,0.030525030525030528,0.005494505494505494,0.02991452991452992,0.9145299145299144,0.019536019536019536,0.0,18,18
Rheinland-Pfalz,2022-04,0.026143790849673203,0.00522875816993464,0.028758169934640525,0.9222222222222223,0.01764705882352941,0.0,18,18
Rheinland-Pfalz,2022-05,0.02345679012345679,0.007407407407407408,0.016049382716049384,0.9376543209876542,0.0154320987654321,0.0,18,18
Rheinland-Pfalz,2022-06,0.007189542483660131,0.0058823529411764705,0.014379084967320262,0.9692810457516339,0.0032679738562091504,0.0,18,18
Rheinland-Pfalz,2022-07,0.012681159420289856,0.016304347826086956,0.021135265700483092,0.9498792270531402,0.0,0.0,18,18
Rheinland-Pfalz,2022-08,0.001221001221001221,0.005494505494505495,0.017704517704517704,0.9621489621489621,0.013431013431013432,0.0,18,18
Rheinland-Pfalz,2022-09,0.013732833957553058,0.00811485642946317,0.006866416978776529,0.9637952559300875,0.00749063670411985,0.0,18,18
Rheinland-Pfalz,2022-10,0.012544802867383513,0.039426523297491044,0.022700119474313024,0.8709677419354839,0.008960573476702509,0.0,18,18
Rheinland-Pfalz,2022-11,0.02091503267973856,0.021568627450980392,0.010457516339869282,0.9464052287581699,0.0006535947712418301,0.0,18,18
Rheinland-Pfalz,2022-12,0.00966183574879227,0.014492753623188406,0.004830917874396135,0.9577294685990339,0.004830917874396135,0.0,18,18
Saarland,2022-01,0.0,0.0,0.18840579710144925,0.8115942028985508,0.0,0.0,3,3
Saarland,2022-02,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3,3
Saarland,2022-03,0.0,0.0,0.2893772893772894,0.7106227106227107,0.0,0.0,3,3
Saarland,2022-04,0.0,0.047058823529411764,0.1372549019607843,0.815686274509804,0.0,0.0,3,3
Saarland,2022-05,0.0,0.0,0.5111111111111111,0.48888888888888893,0.0,0.0,3,3
Saarland,2022-06,0.0,0.0,0.23921568627450981,0.7607843137254902,0.0,0.0,3,3
Saarland,2022-07,0.0,0.0,0.11956521739130434,0.8804347826086957,0.0,0.0,3,3
Saarland,2022-08,0.0,0.0,0.10256410256410257,0.8974358974358975,0.0,0.0,3,3
Saarland,2022-09,0.0,0.0,0.0749063670411985,0.9250936329588014,0.0,0.0,3,3
Saarland,2022-10,0.0,0.0,0.08602150537634408,0.913978494623656,0.0,0.0,3,3
Saarland,2022-11,0.0,0.0,0.04814814814814814,0.9518518518518518,0.0,0.0,3,3
Saarland,2022-12,0.0,0.0,0.40942028985507245,0.5905797101449276,0.0,0.0,3,3
Sachsen,2022-01,0.056521739130434775,0.5021739130434782,0.2,0.2391304347826087,0.002173913043478261,0.0,17,5
Sachsen,2022-02,0.0,0.585,0.2,0.0,0.215,0.0,17,5
Sachsen,2022-03,0.0,0.21758241758241756,0.2,0.1824175824175824,0.4,0.0,17,5
Sachsen,2022-04,0.0,0.2,0.2,0.22823529411764704,0.37176470588235294,0.0,17,5
Sachsen,2022-05,0.0,0.2,0.2,0.4,0.2,0.0,17,5
Sachsen,2022-06,0.0,0.08705882352941177,0.3129411764705882,0.4,0.2,0.0,17,5
Sachsen,2022-07,0.0,0.0,0.4,0.4,0.2,0.0,17,5
Sachsen,2022-08,0.0,0.23076923076923078,0.24175824175824173,0.32747252747252753,0.2,0.0,17,5
Sachsen,2022-09,0.0,0.0,0.0,0.8292134831460674,0.1707865168539326,0.0,17,5
Sachsen,2022-10,0.06451612903225806,0.0,0.0,0.935483870967742,0.0,0.0,17,5
Sachsen,2022-11,0.19777777777777777,0.028888888888888888,0.0,0.7733333333333333,0.0,0.0,17,5
Sachsen,2022-12,0.13478260869565217,0.028260869565217388,0.0,0.8369565217391305,0.0,0.0,17,5
Sachsen-Anhalt,2022-01,0.0,0.4,0.0,0.4,0.2,0.0,17,5
Sachsen-Anhalt,2022-02,0.0,0.4,0.0625,0.3375,0.2,0.0,17,5
Sachsen-Anhalt,2022-03,0.0,0.4,0.0945054945054945,0.30549450549450546,0.2,0.0,17,5
Sachsen-Anhalt,2022-04,0.04470588235294118,0.16470588235294117,0.03058823529411765,0.6423529411764706,0.11764705882352941,0.0,17,5
Sachsen-Anhalt,2022-05,0.0,0.26666666666666666,0.0,0.6355555555555557,0.09777777777777777,0.0,17,5
Sachsen-Anhalt,2022-06,0.0,0.01411764705882353,0.0,0.7858823529411765,0.2,0.0,17,5
Sachsen-Anhalt,2022-07,0.0,0.07608695652173914,0.0,0.8869565217391304,0.03695652173913043,0.0,17,5
Sachsen-Anhalt,2022-08,0.0,0.03736263736263736,0.008791208791208791,0.9538461538461538,0.0,0.0,17,5
Sachsen-Anhalt,2022-09,0.0,0.0449438202247191,0.09662921348314607,0.8584269662921349,0.0,0.0,17,5
Sachsen-Anhalt,2022-10,0.0,0.060215053763440864,0.0,0.9397849462365592,0.0,0.0,17,5
Sachsen-Anhalt,2022-11,0.0,0.14222222222222222,0.015555555555555555,0.8422222222222222,0.0,0.0,17,5
Sachsen-Anhalt,2022-12,0.0,0.056521739130434775,0.0,0.9434782608695652,0.0,0.0,17,5
Schleswig-Holstein,2022-01,0.005016722408026756,0.03177257525083612,0.0,0.9096989966555183,0.011705685618729098,0.04180602006688963,16,13
Schleswig-Holstein,2022-02,0.03076923076923077,0.055769230769230765,0.0,0.8605769230769231,0.0,0.052884615384615384,16,13
Schleswig-Holstein,2022-03,0.01775147928994083,0.06424344885883347,0.0,0.8926458157227388,0.0253592561284869,0.0,16,13
Schleswig-Holstein,2022-04,0.015384615384615385,0.025339366515837104,0.0,0.9438914027149322,0.015384615384615385,0.0,16,13
Schleswig-Holstein,2022-05,0.028205128205128202,0.02905982905982906,0.0,0.9427350427350427,0.0,0.0,16,13
Schleswig-Holstein,2022-06,0.0027149321266968325,0.00995475113122172,0.0,0.9782805429864253,0.009049773755656108,0.0,16,13
Schleswig-Holstein,2022-07,0.00919732441471572,0.01588628762541806,0.0033444816053511705,0.9540133779264214,0.013377926421404682,0.0,16,13
Schleswig-Holstein,2022-08,0.00676246830092984,0.00591715976331361,0.0,0.9839391377852917,0.00338123415046492,0.0,16,13
Schleswig-Holstein,2022-09,0.00950734658599827,0.010371650821089023,0.0,0.9662921348314607,0.013828867761452032,0.0,16,13
Schleswig-Holstein,2022-10,0.008271298593879239,0.023986765922249794,0.0,0.956989247311828,0.006617038875103392,0.0041356492969396195,16,13
Schleswig-Holstein,2022-11,0.020512820512820513,0.017948717948717947,0.01111111111111111,0.9427350427350428,0.0008547008547008547,0.006837606837606838,16,13
Schleswig-Holstein,2022-12,0.0033444816053511705,0.014214046822742474,0.0,0.9790969899665551,0.002508361204013378,0.0008361204013377926,16,13
Thüringen,2022-01,0.06086956521739131,0.25434782608695655,0.16956521739130434,0.5152173913043478,0.0,0.0,12,5
Thüringen,2022-02,0.0,0.052500000000000005,0.1125,0.7625,0.0725,0.0,12,5
Thüringen,2022-03,0.06373626373626373,0.021978021978021976,0.0,0.9142857142857143,0.0,0.0,12,5
Thüringen,2022-04,0.11058823529411765,0.2,0.0,0.6023529411764705,0.0,0.08705882352941177,12,5
Thüringen,2022-05,0.015555555555555555,0.2,0.18444444444444447,0.6,0.0,0.0,12,5
Thüringen,2022-06,0.0,0.04,0.2,0.6,0.0,0.16,12,5
Thüringen,2022-07,0.0,0.0,0.17608695652173914,0.7043478260869566,0.0,0.11956521739130435,12,5
Thüringen,2022-08,0.0,0.0,0.026373626373626374,0.9736263736263737,0.0,0.0,12,5
Thüringen,2022-09,0.0,0.0,0.19775280898876405,0.802247191011236,0.0,0.0,12,5
Thüringen,2022-10,0.0,0.0,0.15053763440860216,0.8,0.0,0.04946236559139785,12,5
Thüringen,2022-11,0.0,0.0,0.02,0.8,0.0,0.18,12,5
Thüringen,2022-12,0.0,0.0,0.17391304347826086,0.8,0.0,0.02608695652173913,12,5
