shelter_name,monthyear,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis
Frauen- und Kinderschutzhaus Landkreis Leipzig,2022-01,0.8387096774193549,0.0,0.16129032258064516,Sachsen,Landkreis Leipzig
Frauen- und Kinderschutzhaus Merseburg,2022-01,0.0,0.0,1.0,Sachsen-Anhalt,Landkreis Saalekreis
Frauen- und Kinderschutzhaus Moers,2022-01,0.25806451612903225,0.0,0.7419354838709677,Nordrhein-Westfalen,Kreis Wesel
Frauen- und Kinderschutzhaus Radolfzell,2022-01,0.0,1.0,0.0,Baden-Württemberg,Landkreis Konstanz
Frauen- und Kinderschutzhaus Sangerhausen,2022-01,1.0,0.0,0.0,Sachsen-Anhalt,Landkreis Mansfeld-Südharz
Frauen- und Kinderschutzhaus Troisdorf,2022-01,0.0967741935483871,0.0,0.9032258064516129,Nordrhein-Westfalen,Kreis Rhein-Sieg-Kreis
Frauen- und Kinderschutzhaus für den Kreis Mettmann,2022-01,0.0967741935483871,0.0,0.9032258064516129,Nordrhein-Westfalen,Kreis Mettmann
Frauen- und Kinderschutzhaus im Hohenlohekreis,2022-01,0.0967741935483871,0.0,0.9032258064516129,Baden-Württemberg,Landkreis Hohenlohekreis
Frauen- und Kinderschutzhäuser Münster,2022-01,0.22580645161290322,0.0,0.7741935483870968,Nordrhein-Westfalen,Kreisfreie Stadt Münster
Frauen-und Kinderschutzhaus Aschersleben,2022-01,1.0,0.0,0.0,Sachsen-Anhalt,Landkreis Salzlandkreis
Frauen-und Kinderschutzhaus Schwäbisch Hall,2022-01,0.6129032258064516,0.3870967741935484,0.0,Baden-Württemberg,Landkreis Schwäbisch Hall
Frauen-und Kinderschutzhaus Tuttlingen,2022-01,0.0,0.0,1.0,Baden-Württemberg,Landkreis Tuttlingen
Frauenhaus,2022-01,0.8709677419354839,0.0,0.12903225806451613,Brandenburg,Landkreis Elbe-Elster
Frauenhaus,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Bayreuth
Frauenhaus,2022-01,0.16129032258064516,0.3870967741935484,0.45161290322580644,Baden-Württemberg,Stadtkreis Karlsruhe
Frauenhaus,2022-01,0.0,0.0,1.0,Niedersachsen,Landkreis Nienburg (Weser)
Frauenhaus,2022-01,0.0,0.0,0.9354838709677419,Hessen,Landkreis Groß-Gerau
Frauenhaus Ahrweiler,2022-01,0.4838709677419355,0.0,0.3870967741935484,Rheinland-Pfalz,Landkreis Ahrweiler
Frauenhaus Alsdorf,2022-01,0.5806451612903226,0.0,0.41935483870967744,Nordrhein-Westfalen,Kreis Städteregion Aachen
Frauenhaus Arnsberg,2022-01,0.4838709677419355,0.0,0.5161290322580645,Nordrhein-Westfalen,Kreis Hochsauerlandkreis
Frauenhaus Bad Hersfeld,2022-01,0.6129032258064516,0.0,0.3870967741935484,Hessen,Landkreis Hersfeld-Rotenburg
Frauenhaus Bad Kreuznach,2022-01,0.6129032258064516,0.0,0.3870967741935484,Rheinland-Pfalz,Landkreis Bad Kreuznach
Frauenhaus Bergisch Gladbach,2022-01,0.5806451612903226,0.0,0.41935483870967744,Nordrhein-Westfalen,Kreis Rheinisch-Bergischer Kreis
Frauenhaus Bergstraße,2022-01,0.03225806451612903,0.0,0.967741935483871,Hessen,Landkreis Bergstraße
Frauenhaus Bocholt,2022-01,0.41935483870967744,0.0,0.5806451612903226,Nordrhein-Westfalen,Kreis Borken
Frauenhaus Bochum,2022-01,0.25806451612903225,0.0,0.7419354838709677,Nordrhein-Westfalen,Kreisfreie Stadt Bochum
Frauenhaus Bonn - Frauen helfen Frauen e.V.,2022-01,0.16129032258064516,0.0,0.8387096774193549,Nordrhein-Westfalen,Kreisfreie Stadt Bonn
Frauenhaus Coburg,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Coburg
Frauenhaus Darmstadt,2022-01,0.3870967741935484,0.0,0.6129032258064516,Hessen,Kreisfreie Stadt Darmstadt
Frauenhaus Datteln,2022-01,0.0967741935483871,0.0,0.9032258064516129,Nordrhein-Westfalen,Kreis Recklinghausen
Frauenhaus Donnersbergkreis,2022-01,0.1935483870967742,0.0,0.8064516129032258,Rheinland-Pfalz,Landkreis Donnersbergkreis
Frauenhaus Duisburg gGmbH,2022-01,0.5483870967741935,0.0,0.45161290322580644,Nordrhein-Westfalen,Kreisfreie Stadt Duisburg
Frauenhaus Düsseldorf,2022-01,0.0967741935483871,0.0,0.5483870967741935,Nordrhein-Westfalen,Kreisfreie Stadt Düsseldorf
Frauenhaus EN,2022-01,0.06451612903225806,0.0,0.9354838709677419,Nordrhein-Westfalen,Kreis Ennepe-Ruhr-Kreis
